keys,zh
# ============================================================
# Item display names (非材料物品)
# ============================================================
gt_hammer,锤子
gt_wrench,扳手
gt_file,锉刀
gt_screwdriver,螺丝刀
gt_saw,锯子
gt_wire_cutter,剪线钳
gt_crowbar,撬棍
gt_soft_mallet,软锤
gt_hard_hammer,硬锤
machine_hull_basic,基础机器外壳
machine_hull_advanced,高级机器外壳
electric_motor_lv,低压电动机
electric_piston_lv,低压活塞
robot_arm_lv,低压机械臂
conveyor_module_lv,低压传送模块
pump_lv,低压泵
empty_fluid_cell,空流体单元
vacuum_tube,真空管
circuit_primitive,原始电路
circuit_basic,基础电路
circuit_good,优质电路
circuit_advanced,高级电路
coal_block,煤炭块
coke_brick,焦炭砖
firebrick,耐火砖
stone_plate,石质板
wood_plate,木质板
blank_pattern,空白样板
wooden_pickaxe,木镐
stone_pickaxe,石镐
iron_pickaxe,铁镐
diamond_pickaxe,钻石镐
wooden_axe,木斧
stone_axe,石斧
iron_axe,铁斧
diamond_axe,钻石斧
wooden_shovel,木锹
stone_shovel,石锹
iron_shovel,铁锹
diamond_shovel,钻石锹
wooden_sword,木剑
stone_sword,石剑
iron_sword,铁剑
diamond_sword,钻石剑
workbench,工作台
stone_furnace,石炉
ladder,梯子
fence,围栏
campfire,篝火
# Tree species items
log.oak,橡木原木
plank.oak,橡木板
sapling.oak,橡树苗
log.birch,白桦原木
plank.birch,白桦板
sapling.birch,白桦树苗
log.spruce,云杉原木
plank.spruce,云杉板
sapling.spruce,云杉树苗
log.acacia,金合欢原木
plank.acacia,金合欢板
sapling.acacia,金合欢树苗
log.maple,枫树原木
plank.maple,枫木板
sapling.maple,枫树苗
log.sequoia,红杉原木
plank.sequoia,红杉板
sapling.sequoia,红杉树苗
log.cherry,樱桃原木
plank.cherry,樱桃木板
sapling.cherry,樱桃树苗
fruit.cherry,樱桃
log.olive,橄榄原木
plank.olive,橄榄木板
sapling.olive,橄榄树苗
fruit.olive,橄榄

# ============================================================
# Material display names (材料名称)
# ============================================================
material.stone,石头
material.flint,燧石
material.coal,煤炭
material.charcoal,木炭
material.lignite,褐煤
material.copper,铜
material.tin,锡
material.iron,铁
material.lead,铅
material.silver,银
material.gold,金
material.zinc,锌
material.nickel,镍
material.aluminium,铝
material.platinum,铂
material.tungsten,钨
material.titanium,钛
material.chrome,铬
material.manganese,锰
material.cobalt,钴
material.bismuth,铋
material.antimony,锑
material.bronze,青铜
material.brass,黄铜
material.steel,钢
material.stainless_steel,不锈钢
material.electrum,琥珀金
material.invar,殷钢
material.cupronickel,白铜
material.solder,焊锡
material.tin_alloy,锡合金
material.red_alloy,红石合金
material.annealed_copper,退火铜
material.tungstensteel,钨钢
material.hss_g,HSS-G高速钢
material.naquadah,纳夸达
material.naquadah_alloy,纳夸达合金
material.diamond,钻石
material.ruby,红宝石
material.sapphire,蓝宝石
material.emerald,绿宝石
material.amethyst,紫水晶
material.lapis,青金石
material.quartz,石英
material.nether_quartz,下界石英
material.uranium,铀
material.plutonium,钚
material.thorium,钍
material.iridium,铱
material.osmium,锇
material.graphene,石墨烯
material.superconductor,超导体
material.water,水
material.lava,熔岩
material.creosote,杂酚油
material.sulfuric_acid,硫酸
material.hydrochloric_acid,盐酸
material.nitric_acid,硝酸
material.hydrofluoric_acid,氢氟酸
material.aqua_regia,王水
material.lubricant,润滑油
material.biomass,生物质
material.ethanol,乙醇
material.oil,石油
material.oil_heavy,重油
material.oil_light,轻油
material.fuel_diesel,柴油
material.fuel_rocket,火箭燃料
material.glue,胶水
material.mercury,水银
material.molten_iron,熔融铁
material.oxygen,氧
material.hydrogen,氢
material.nitrogen,氮
material.carbon_dioxide,二氧化碳
material.carbon_monoxide,一氧化碳
material.sulfur_dioxide,二氧化硫
material.nitrogen_dioxide,二氧化氮
material.nitric_oxide,一氧化氮
material.ammonia,氨
material.methane,甲烷
material.natural_gas,天然气
material.hydrogen_sulfide,硫化氢
material.ozone,臭氧
material.chlorine,氯
material.fluorine,氟
material.bromine,溴
material.iodine,碘
material.helium,氦
material.neon,氖
material.argon,氩
material.krypton,氪
material.xenon,氙
material.radon,氡
material.deuterium,氘
material.tritium,氚
material.helium_3,氦-3
material.plasma_nitrogen,等离子氮
material.plasma_oxygen,等离子氧
material.plasma_helium,等离子氦
material.ethylene,乙烯
material.propylene,丙烯
material.benzene,苯
material.toluene,甲苯
material.phenol,苯酚
material.formaldehyde,甲醛
material.acetic_acid,乙酸
material.acetone,丙酮
material.glycerol,甘油
material.vinyl_chloride,氯乙烯
material.styrene,苯乙烯
material.steam,蒸汽
material.wood,木材
material.granite,花岗岩
material.basalt,玄武岩
material.marble,大理石
material.sandstone,砂岩
material.shale,页岩
material.komatiite,科马提岩
material.regolith,表岩屑
material.anorthosite,斜长岩
material.rubber,橡胶
material.polyethylene,聚乙烯
material.glowstone,萤石
material.wrought_iron,熟铁

# ============================================================
# Material form display names (材料形态名称)
# ============================================================
form.dust,粉
form.tiny_dust,小撮粉
form.small_dust,小堆粉
form.impure_dust,含杂粉
form.purified_dust,纯净粉
form.crushed,粉碎矿石
form.crushed_purified,纯净粉碎
form.crushed_centrifuged,离心粉碎
form.gem,宝石
form.flawed_gem,瑕玉
form.flawless_gem,完美
form.exquisite_gem,璀璨
form.ingot,锭
form.ingot_hot,热锭
form.nugget,粒
form.block,块
form.plate,板
form.double_plate,双层板
form.dense_plate,致密板
form.rod,杆
form.long_rod,长杆
form.bolt,螺栓
form.screw,螺丝
form.ring,环
form.rotor,转子
form.gear,齿轮
form.small_gear,小齿轮
form.wire_fine,细导线
form.wire,导线
form.cell,单元
form.plasma_cell,等离子单元

# ============================================================
# Creature species display names (生物物种名称)
# ============================================================
creature.glow_deer,辉光鹿
creature.rock_lizard,岩蜥
creature.thunderbird,雷鸟
creature.sea_serpent,海蛇
creature.blaze_beast,炽核兽
creature.aether_wraith,以太幽影
creature.aberrant_ascended,畸变升华者

# ============================================================
# Source law: Creature drop items (源律掉落物品)
# ============================================================
snt:glow_deer_antler,辉光鹿角
snt:purifying_pollen,净化花粉
snt:rock_lizard_scale,岩蜥鳞片
snt:crystallized_bone_powder,结晶骨粉
snt:thunderbird_feather,雷鸟羽毛
snt:magnetic_crystal_shard,磁晶碎片
snt:sea_serpent_scale,海蛇鳞片
snt:tidal_gland,潮汐腺体
snt:blazing_core,炽焰核心
snt:molten_blood_sample,熔血样本
snt:aether_fragment,以太碎片
snt:blueprint_shard,蓝图碎片
snt:aberrant_organ,畸变器官
snt:polluted_source_essence,污染源质

# ============================================================
# Source law: Sublimation paths (升华路径)
# ============================================================
path.sand_armor,沙铠
path.tidal,潮汐
path.storm,风暴
path.furnace,熔炉
path.radiance,辉耀

# ============================================================
# Machine modules (机器模块)
# ============================================================
module.energy_ulv,超低压能源模块
module.energy_lv,低压能源模块
module.energy_mv,中压能源模块
module.energy_hv,高压能源模块
module.energy_ev,超高压能源模块
module.energy_iv,强压能源模块
module.energy_luv,极压能源模块
module.energy_zpm,零点模块
module.energy_uv,超限模块
module.energy_ulv_4a,超低压能源模块4A
module.energy_lv_4a,低压能源模块4A
module.energy_mv_4a,中压能源模块4A
module.energy_hv_4a,高压能源模块4A
module.energy_ev_4a,超高压能源模块4A
module.energy_iv_4a,强压能源模块4A
module.energy_luv_4a,极压能源模块4A
module.energy_zpm_4a,零点模块4A
module.energy_uv_4a,超限模块4A
module.energy_lv_16a,低压能源模块16A
module.energy_mv_16a,中压能源模块16A
module.energy_hv_16a,高压能源模块16A
module.energy_ev_16a,超高压能源模块16A
module.energy_iv_16a,强压能源模块16A
module.energy_luv_16a,极压能源模块16A
module.energy_zpm_16a,零点模块16A
module.energy_uv_16a,超限模块16A
module.coil_cupronickel,白铜线圈
module.coil_kanthal,坎塔尔线圈
module.coil_nichrome,镍铬线圈
module.coil_tungstensteel,钨钢线圈
module.coil_hssg,HSS-G线圈
module.coil_naquadah,纳夸达线圈
module.coil_naquadah_alloy,纳夸达合金线圈
module.coil_superconductor,超导线圈
module.muffler_lv,低压消音器
module.muffler_mv,中压消音器
module.muffler_hv,高压消音器
module.muffler_ev,超高压消音器
module.muffler_iv,强压消音器

# ============================================================
# Fuels (燃料)
# ============================================================
fuel.coal,煤炭
fuel.charcoal,木炭
fuel.wood_log,原木
fuel.wood_plank,木板
fuel.stick,木棍
fuel.lava,熔岩
fuel.diesel,柴油
fuel.oil,石油
fuel.natural_gas,天然气
fuel.hydrogen,氢气

# ============================================================
# Terrain materials (地形材质)
# ============================================================
terrain.air,空气
terrain.stone,石头
terrain.dirt,泥土
terrain.grass,草方块
terrain.sand,沙子
terrain.gravel,沙砾
terrain.snow,雪
terrain.ice,冰
terrain.water,水
terrain.deep_water,深水
terrain.lava,熔岩
terrain.iron_ore,铁矿石
terrain.copper_ore,铜矿石
terrain.coal_ore,煤矿石
terrain.tin_ore,锡矿石
terrain.gold_ore,金矿石
terrain.silver_ore,银矿石
terrain.lead_ore,铅矿石
terrain.bauxite_ore,铝土矿
terrain.uranium_ore,铀矿石
terrain.oak_wood,橡树木
terrain.oak_leaves,橡树树叶
terrain.birch_wood,白桦木
terrain.birch_leaves,白桦树叶
terrain.spruce_wood,云杉木
terrain.spruce_leaves,云杉树叶
terrain.acacia_wood,金合欢木
terrain.acacia_leaves,金合欢树叶
terrain.maple_wood,枫树木
terrain.maple_leaves,枫树树叶
terrain.sequoia_wood,红杉木
terrain.sequoia_leaves,红杉树叶
terrain.cherry_wood,樱桃木
terrain.cherry_leaves,樱桃树叶
terrain.olive_wood,橄榄木
terrain.olive_leaves,橄榄树叶
terrain.granite,花岗岩
terrain.basalt,玄武岩
terrain.marble,大理石
terrain.sandstone,砂岩
terrain.shale,页岩
terrain.komatiite,科马提岩
terrain.regolith,表岩屑
terrain.anorthosite,斜长岩
terrain.deepstone,深层岩
terrain.core_barrier,地核屏障
terrain.wood,木材
terrain.leaves,树叶
terrain.ladder,梯子
terrain.workbench,工作台
terrain.fence,围栏
terrain.lithium_ore,锂矿石
terrain.beryllium_ore,铍矿石
terrain.boron_ore,硼矿石
terrain.magnesium_ore,镁矿石
terrain.phosphorus_ore,磷矿石
terrain.potassium_ore,钾矿石
terrain.calcium_ore,钙矿石
terrain.scandium_ore,钪矿石
terrain.vanadium_ore,钒矿石
terrain.chromium_ore,铬矿石
terrain.gallium_ore,镓矿石
terrain.germanium_ore,锗矿石
terrain.arsenic_ore,砷矿石
terrain.selenium_ore,硒矿石
terrain.bromine_ore,溴矿石
terrain.rubidium_ore,铷矿石
terrain.strontium_ore,锶矿石
terrain.yttrium_ore,钇矿石
terrain.zirconium_ore,锆矿石
terrain.niobium_ore,铌矿石
terrain.molybdenum_ore,钼矿石
terrain.ruthenium_ore,钌矿石
terrain.rhodium_ore,铑矿石
terrain.palladium_ore,钯矿石
terrain.cadmium_ore,镉矿石
terrain.indium_ore,铟矿石
terrain.antimony_ore,锑矿石
terrain.tellurium_ore,碲矿石
terrain.iodine_ore,碘矿石
terrain.cesium_ore,铯矿石
terrain.barium_ore,钡矿石
terrain.rare_earth_ore,稀土矿石
terrain.hafnium_ore,铪矿石
terrain.tantalum_ore,钽矿石
terrain.rhenium_ore,铼矿石
terrain.osmium_ore,锇矿石
terrain.iridium_ore,铱矿石
terrain.thallium_ore,铊矿石
terrain.bismuth_ore,铋矿石
terrain.thorium_ore,钍矿石

# ============================================================
# Planet / Station / Universe display names (通用UI文本)
# ============================================================
ui.unknown,未知
ui.planet,行星
ui.space_station,空间站
ui.mechanism,机关
ui.distance_unit,光年
ui.temperature_unit,K

# ============================================================
# Fluid display names (流体名称)
# ============================================================
fluid.water,水
fluid.lava,熔岩
fluid.steam,蒸汽
fluid.creosote,杂酚油
fluid.sulfuric_acid,硫酸
fluid.hydrochloric_acid,盐酸
fluid.nitric_acid,硝酸
fluid.hydrofluoric_acid,氢氟酸
fluid.aqua_regia,王水
fluid.lubricant,润滑油
fluid.biomass,生物质
fluid.ethanol,乙醇
fluid.oil,石油
fluid.oil_heavy,重油
fluid.oil_light,轻油
fluid.fuel_diesel,柴油
fluid.fuel_rocket,火箭燃料
fluid.glue,胶水
fluid.mercury,水银
fluid.oxygen,氧气
fluid.hydrogen,氢气
fluid.nitrogen,氮气
fluid.carbon_dioxide,二氧化碳
fluid.carbon_monoxide,一氧化碳
fluid.sulfur_dioxide,二氧化硫
fluid.nitrogen_dioxide,二氧化氮
fluid.nitric_oxide,一氧化氮
fluid.ammonia,氨气
fluid.methane,甲烷
fluid.natural_gas,天然气
fluid.hydrogen_sulfide,硫化氢
fluid.ozone,臭氧
fluid.chlorine,氯气
fluid.fluorine,氟气
fluid.bromine,溴
fluid.iodine,碘
fluid.helium,氦
fluid.neon,氖
fluid.argon,氩
fluid.krypton,氪
fluid.xenon,氙
fluid.radon,氡
fluid.deuterium,氘
fluid.tritium,氚
fluid.helium_3,氦-3
fluid.molten_iron,熔融铁
fluid.molten_gold,熔融金
fluid.molten_copper,熔融铜
fluid.molten_tin,熔融锡
fluid.molten_lead,熔融铅
fluid.distilled_water,蒸馏水

# ============================================================
# Ritual recipe display names (仪式配方名称)
# ============================================================
ritual.unknown,未知仪式
ritual.machine_speed,机器速度 I
ritual.machine_cooling,机器冷却
ritual.machine_output,机器输出 I
ritual.toggle_ruin_gate,切换废墟之门
ritual.player_speed_boost,玩家速度提升
ritual.machine_double_output,机器随机双倍输出
ritual.teleport_link,祭坛传送链接
ritual.divination,占卜
ritual.mana_expansion,魔力扩展 +25

# ============================================================
# Source law: Elixir recipes (药剂配方)
# ============================================================
elixir.sand_armor_initiation,沙铠启蒙药剂
elixir.tidal_initiation,潮汐启蒙药剂
elixir.storm_initiation,风暴启蒙药剂
