keys,en
# ============================================================
# Item display names (non-material items from tool_items.hpp)
# ============================================================
gt_hammer,Hammer
gt_wrench,Wrench
gt_file,File
gt_screwdriver,Screwdriver
gt_saw,Saw
gt_wire_cutter,Wire Cutter
gt_crowbar,Crowbar
gt_soft_mallet,Soft Mallet
gt_hard_hammer,Hard Hammer
machine_hull_basic,Basic Machine Hull
machine_hull_advanced,Advanced Machine Hull
electric_motor_lv,LV Electric Motor
electric_piston_lv,LV Electric Piston
robot_arm_lv,LV Robot Arm
conveyor_module_lv,LV Conveyor Module
pump_lv,LV Pump
empty_fluid_cell,Empty Fluid Cell
vacuum_tube,Vacuum Tube
circuit_primitive,Primitive Circuit
circuit_basic,Basic Circuit
circuit_good,Good Circuit
circuit_advanced,Advanced Circuit
coal_block,Coal Block
coke_brick,Coke Brick
firebrick,Firebrick
stone_plate,Stone Plate
wood_plate,Wood Plate
blank_pattern,Blank Pattern
wooden_pickaxe,Wooden Pickaxe
stone_pickaxe,Stone Pickaxe
iron_pickaxe,Iron Pickaxe
diamond_pickaxe,Diamond Pickaxe
wooden_axe,Wooden Axe
stone_axe,Stone Axe
iron_axe,Iron Axe
diamond_axe,Diamond Axe
wooden_shovel,Wooden Shovel
stone_shovel,Stone Shovel
iron_shovel,Iron Shovel
diamond_shovel,Diamond Shovel
wooden_sword,Wooden Sword
stone_sword,Stone Sword
iron_sword,Iron Sword
diamond_sword,Diamond Sword
workbench,Workbench
stone_furnace,Stone Furnace
ladder,Ladder
fence,Fence
campfire,Campfire
# Tree species items
log.oak,Oak Log
plank.oak,Oak Plank
sapling.oak,Oak Sapling
log.birch,Birch Log
plank.birch,Birch Plank
sapling.birch,Birch Sapling
log.spruce,Spruce Log
plank.spruce,Spruce Plank
sapling.spruce,Spruce Sapling
log.acacia,Acacia Log
plank.acacia,Acacia Plank
sapling.acacia,Acacia Sapling
log.maple,Maple Log
plank.maple,Maple Plank
sapling.maple,Maple Sapling
log.sequoia,Sequoia Log
plank.sequoia,Sequoia Plank
sapling.sequoia,Sequoia Sapling
log.cherry,Cherry Log
plank.cherry,Cherry Plank
sapling.cherry,Cherry Sapling
fruit.cherry,Cherry
log.olive,Olive Log
plank.olive,Olive Plank
sapling.olive,Olive Sapling
fruit.olive,Olive

# ============================================================
# Material display names (material.cpp name field as key)
# ============================================================
material.stone,Stone
material.flint,Flint
material.coal,Coal
material.charcoal,Charcoal
material.lignite,Lignite
material.copper,Copper
material.tin,Tin
material.iron,Iron
material.lead,Lead
material.silver,Silver
material.gold,Gold
material.zinc,Zinc
material.nickel,Nickel
material.aluminium,Aluminium
material.platinum,Platinum
material.tungsten,Tungsten
material.titanium,Titanium
material.chrome,Chrome
material.manganese,Manganese
material.cobalt,Cobalt
material.bismuth,Bismuth
material.antimony,Antimony
material.bronze,Bronze
material.brass,Brass
material.steel,Steel
material.stainless_steel,Stainless Steel
material.electrum,Electrum
material.invar,Invar
material.cupronickel,Cupronickel
material.solder,Solder
material.tin_alloy,Tin Alloy
material.red_alloy,Red Alloy
material.annealed_copper,Annealed Copper
material.tungstensteel,Tungstensteel
material.hss_g,HSS-G
material.naquadah,Naquadah
material.naquadah_alloy,Naquadah Alloy
material.diamond,Diamond
material.ruby,Ruby
material.sapphire,Sapphire
material.emerald,Emerald
material.amethyst,Amethyst
material.lapis,Lapis
material.quartz,Quartz
material.nether_quartz,Nether Quartz
material.uranium,Uranium
material.plutonium,Plutonium
material.thorium,Thorium
material.iridium,Iridium
material.osmium,Osmium
material.graphene,Graphene
material.superconductor,Superconductor
material.water,Water
material.lava,Lava
material.creosote,Creosote
material.sulfuric_acid,Sulfuric Acid
material.hydrochloric_acid,Hydrochloric Acid
material.nitric_acid,Nitric Acid
material.hydrofluoric_acid,Hydrofluoric Acid
material.aqua_regia,Aqua Regia
material.lubricant,Lubricant
material.biomass,Biomass
material.ethanol,Ethanol
material.oil,Oil
material.oil_heavy,Heavy Oil
material.oil_light,Light Oil
material.fuel_diesel,Diesel Fuel
material.fuel_rocket,Rocket Fuel
material.glue,Glue
material.mercury,Mercury
material.molten_iron,Molten Iron
material.oxygen,Oxygen
material.hydrogen,Hydrogen
material.nitrogen,Nitrogen
material.carbon_dioxide,Carbon Dioxide
material.carbon_monoxide,Carbon Monoxide
material.sulfur_dioxide,Sulfur Dioxide
material.nitrogen_dioxide,Nitrogen Dioxide
material.nitric_oxide,Nitric Oxide
material.ammonia,Ammonia
material.methane,Methane
material.natural_gas,Natural Gas
material.hydrogen_sulfide,Hydrogen Sulfide
material.ozone,Ozone
material.chlorine,Chlorine
material.fluorine,Fluorine
material.bromine,Bromine
material.iodine,Iodine
material.helium,Helium
material.neon,Neon
material.argon,Argon
material.krypton,Krypton
material.xenon,Xenon
material.radon,Radon
material.deuterium,Deuterium
material.tritium,Tritium
material.helium_3,Helium-3
material.plasma_nitrogen,Plasma N2
material.plasma_oxygen,Plasma O2
material.plasma_helium,Plasma He
material.ethylene,Ethylene
material.propylene,Propylene
material.benzene,Benzene
material.toluene,Toluene
material.phenol,Phenol
material.formaldehyde,Formaldehyde
material.acetic_acid,Acetic Acid
material.acetone,Acetone
material.glycerol,Glycerol
material.vinyl_chloride,Vinyl Chloride
material.styrene,Styrene
material.steam,Steam
material.wood,Wood
material.granite,Granite
material.basalt,Basalt
material.marble,Marble
material.sandstone,Sandstone
material.shale,Shale
material.komatiite,Komatiite
material.regolith,Regolith
material.anorthosite,Anorthosite
material.rubber,Rubber
material.polyethylene,Polyethylene
material.glowstone,Glowstone
material.wrought_iron,Wrought Iron

# ============================================================
# Material form display names (kFormNames as keys)
# ============================================================
form.dust,Dust
form.tiny_dust,Tiny Dust
form.small_dust,Small Dust
form.impure_dust,Impure Dust
form.purified_dust,Purified Dust
form.crushed,Crushed Ore
form.crushed_purified,Purified Crushed
form.crushed_centrifuged,Centrifuged Crushed
form.gem,Gem
form.flawed_gem,Flawed Gem
form.flawless_gem,Flawless Gem
form.exquisite_gem,Exquisite Gem
form.ingot,Ingot
form.ingot_hot,Hot Ingot
form.nugget,Nugget
form.block,Block
form.plate,Plate
form.double_plate,Double Plate
form.dense_plate,Dense Plate
form.rod,Rod
form.long_rod,Long Rod
form.bolt,Bolt
form.screw,Screw
form.ring,Ring
form.rotor,Rotor
form.gear,Gear
form.small_gear,Small Gear
form.wire_fine,Fine Wire
form.wire,Wire
form.cell,Cell
form.plasma_cell,Plasma Cell

# ============================================================
# Creature species display names (species_key as key)
# ============================================================
creature.glow_deer,Glow Deer
creature.rock_lizard,Rock Lizard
creature.thunderbird,Thunderbird
creature.sea_serpent,Sea Serpent
creature.blaze_beast,Blaze Beast
creature.aether_wraith,Aether Wraith
creature.aberrant_ascended,Aberrant Ascended

# ============================================================
# Source law: Creature drop items (snt:* keys)
# ============================================================
snt:glow_deer_antler,Glow Deer Antler
snt:purifying_pollen,Purifying Pollen
snt:rock_lizard_scale,Rock Lizard Scale
snt:crystallized_bone_powder,Crystallized Bone Powder
snt:thunderbird_feather,Thunderbird Feather
snt:magnetic_crystal_shard,Magnetic Crystal Shard
snt:sea_serpent_scale,Sea Serpent Scale
snt:tidal_gland,Tidal Gland
snt:blazing_core,Blazing Core
snt:molten_blood_sample,Molten Blood Sample
snt:aether_fragment,Aether Fragment
snt:blueprint_shard,Blueprint Shard
snt:aberrant_organ,Aberrant Organ
snt:polluted_source_essence,Polluted Source Essence

# ============================================================
# Source law: Sublimation paths, skills, organs
# ============================================================
path.sand_armor,Sand Armor
path.tidal,Tidal
path.storm,Storm
path.furnace,Furnace
path.radiance,Radiance
skill.rock_shield,Rock Shield

# ============================================================
# Source law: Elixir recipes
# ============================================================
elixir.sand_armor_initiation,Sand Armor Initiation Elixir
elixir.tidal_initiation,Tidal Initiation Elixir
elixir.storm_initiation,Storm Initiation Elixir
elixir.furnace_initiation,Furnace Initiation Elixir
elixir.radiance_initiation,Radiance Initiation Elixir
elixir.basic_tuning,Basic Tuning Potion
elixir.basic_purification,Basic Purification Potion

# ============================================================
# Source law: Dropped organs
# ============================================================
organ.rock_lizard_heart,Rock Lizard Source Heart
organ.rock_lizard_bone,Rock Lizard Source Bone
organ.sea_serpent_lung,Sea Serpent Source Lung
organ.aberrant_sand_armor_bone,Aberrant Sand Armor Bone
organ.aberrant_tidal_lung,Aberrant Tidal Lung
organ.aberrant_storm_nerve,Aberrant Storm Nerve
organ.aberrant_furnace_heart,Aberrant Furnace Heart
organ.aberrant_radiance_eye,Aberrant Radiance Eye

# ============================================================
# Machine modules
# ============================================================
module.energy_ulv,Energy Module ULV
module.energy_lv,Energy Module LV
module.energy_mv,Energy Module MV
module.energy_hv,Energy Module HV
module.energy_ev,Energy Module EV
module.energy_iv,Energy Module IV
module.energy_luv,Energy Module LuV
module.energy_zpm,Energy Module ZPM
module.energy_uv,Energy Module UV
module.energy_ulv_4a,Energy Module ULV 4A
module.energy_lv_4a,Energy Module LV 4A
module.energy_mv_4a,Energy Module MV 4A
module.energy_hv_4a,Energy Module HV 4A
module.energy_ev_4a,Energy Module EV 4A
module.energy_iv_4a,Energy Module IV 4A
module.energy_luv_4a,Energy Module LuV 4A
module.energy_zpm_4a,Energy Module ZPM 4A
module.energy_uv_4a,Energy Module UV 4A
